ts_code,trade_date,open,close,high,low,volume,amount,pct_chg,adjust_type
000816.SZ,2025-07-04,3.1,3.06,3.11,3.06,299005.0,92029489.0,-1.29,qfq
000816.SZ,2025-07-07,3.06,3.14,3.22,3.05,701726.0,219744283.7,2.61,qfq
000816.SZ,2025-07-08,3.13,3.13,3.15,3.09,408392.0,127110736.0,-0.32,qfq
000816.SZ,2025-07-09,3.13,3.23,3.28,3.11,1221006.0,391923079.39,3.19,qfq
000816.SZ,2025-07-10,3.21,3.2,3.23,3.17,576857.0,184014565.0,-0.93,qfq
000816.SZ,2025-07-11,3.21,3.21,3.22,3.15,460196.0,146377039.93,0.31,qfq
000816.SZ,2025-07-14,3.19,3.17,3.21,3.17,314293.0,100062436.0,-1.25,qfq
000816.SZ,2025-07-15,3.18,3.12,3.18,3.09,402727.0,125565671.48,-1.58,qfq
000816.SZ,2025-07-16,3.12,3.14,3.16,3.11,264524.0,82942444.06,0.64,qfq
000816.SZ,2025-07-17,3.13,3.14,3.15,3.12,260220.0,81539358.39,0.0,qfq
000816.SZ,2025-07-18,3.14,3.13,3.15,3.12,152990.0,47904536.0,-0.32,qfq
000816.SZ,2025-07-21,3.14,3.27,3.35,3.12,1067579.0,345761532.26,4.47,qfq
000816.SZ,2025-07-22,3.27,3.27,3.29,3.23,639575.0,208219441.25,0.0,qfq
000816.SZ,2025-07-23,3.31,3.25,3.33,3.24,628691.0,206434313.52,-0.61,qfq
000816.SZ,2025-07-24,3.25,3.28,3.29,3.23,441063.0,143944396.54,0.92,qfq
000816.SZ,2025-07-25,3.35,3.26,3.38,3.25,587046.0,193496198.72,-0.61,qfq
000816.SZ,2025-07-28,3.27,3.22,3.28,3.2,378203.0,122147433.0,-1.23,qfq
000816.SZ,2025-07-29,3.21,3.19,3.21,3.14,387712.0,122702927.0,-0.93,qfq
000816.SZ,2025-07-30,3.18,3.17,3.2,3.15,255930.0,81128506.0,-0.63,qfq
000816.SZ,2025-07-31,3.16,3.12,3.17,3.11,320040.0,100390653.55,-1.58,qfq
000816.SZ,2025-08-01,3.13,3.13,3.16,3.11,285250.0,89408056.0,0.32,qfq
000816.SZ,2025-08-04,3.12,3.15,3.15,3.1,194226.0,60876334.52,0.64,qfq
000816.SZ,2025-08-05,3.15,3.16,3.18,3.14,213862.0,67637991.32,0.32,qfq
000816.SZ,2025-08-06,3.16,3.17,3.18,3.14,220606.0,69764066.0,0.32,qfq
000816.SZ,2025-08-07,3.17,3.17,3.2,3.15,293122.0,92845140.68,0.0,qfq
