ts_code,trade_date,open,high,low,close,volume,amount,pct_chg
002202.SZ,2024-08-05,7.46,7.6,7.42,7.42,399400,309782875.42,-1.07
002202.SZ,2024-08-06,7.52,7.6,7.43,7.48,278232,215382704.17,0.81
002202.SZ,2024-08-07,7.51,7.64,7.45,7.57,243218,189622124.38,1.2
002202.SZ,2024-08-08,7.52,7.59,7.44,7.57,256126,198858163.49,0.0
002202.SZ,2024-08-09,7.57,7.67,7.47,7.49,181902,141715290.86,-1.06
002202.SZ,2024-08-12,7.63,7.74,7.44,7.51,269613,209312809.45,0.27
002202.SZ,2024-08-13,7.44,7.64,7.4,7.57,235504,182973754.23,0.8
002202.SZ,2024-08-14,7.58,7.62,7.41,7.41,196764,151571440.49,-2.11
002202.SZ,2024-08-15,7.41,7.54,7.39,7.46,171310,131940848.24,0.67
002202.SZ,2024-08-16,7.51,7.54,7.36,7.39,157475,119047619.82,-0.94
002202.SZ,2024-08-19,7.37,7.48,7.31,7.33,199241,149660330.0,-0.81
002202.SZ,2024-08-20,7.36,7.37,7.17,7.2,170006,125361036.36,-1.77
002202.SZ,2024-08-21,7.2,7.22,7.12,7.18,118749,86737065.53,-0.28
002202.SZ,2024-08-22,7.24,7.35,7.18,7.22,204234,150522624.98,0.56
002202.SZ,2024-08-23,7.19,7.33,7.16,7.25,188087,138676056.16,0.42
002202.SZ,2024-08-26,7.58,7.99,7.52,7.82,1227325,985306471.75,7.86
002202.SZ,2024-08-27,7.85,8.21,7.78,8.11,1280598,1043878779.06,3.71
002202.SZ,2024-08-28,8.08,8.33,7.95,8.28,821543,684063160.25,2.1
002202.SZ,2024-08-29,8.27,8.36,8.19,8.21,612053,513173352.15,-0.85
002202.SZ,2024-08-30,8.2,8.28,8.1,8.12,753132,626423241.55,-1.1
002202.SZ,2024-09-02,8.08,8.26,8.06,8.14,445108,369875199.98,0.25
002202.SZ,2024-09-03,8.09,8.3,8.07,8.23,373061,311544077.18,1.11
002202.SZ,2024-09-04,8.19,8.46,8.14,8.26,523034,441937380.62,0.36
002202.SZ,2024-09-05,8.26,8.35,8.18,8.2,298198,250037244.91,-0.73
002202.SZ,2024-09-06,8.2,8.25,8.06,8.06,265992,220274818.23,-1.71
002202.SZ,2024-09-09,8.05,8.11,8.0,8.05,283414,232313169.76,-0.12
002202.SZ,2024-09-10,8.05,8.11,7.94,8.08,262846,214470125.89,0.37
002202.SZ,2024-09-11,8.02,8.14,8.02,8.09,193875,159479435.33,0.12
