entry_period,exit_period,sharpe_ratio,annualized_return,max_drawdown,win_rate,trade_count,stop_loss_count
10,5,-0.451,-10.55,-37.74,38.5,13,8
20,5,-0.418,-7.62,-33.69,33.3,9,7
20,10,-0.256,-4.98,-27.97,37.5,8,8
20,15,-0.256,-4.98,-27.97,37.5,8,8
30,5,-0.594,-9.26,-34.65,28.6,7,6
30,10,-0.311,-5.0,-29.01,33.3,6,6
30,15,-0.311,-5.0,-29.01,33.3,6,6
30,20,-0.311,-5.0,-29.01,33.3,6,6
40,5,-0.184,-1.93,-21.09,40.0,5,5
40,10,-0.184,-1.93,-21.09,40.0,5,5
40,15,-0.184,-1.93,-21.09,40.0,5,5
40,20,-0.184,-1.93,-21.09,40.0,5,5
55,5,-0.144,-1.05,-15.93,50.0,4,4
55,10,-0.144,-1.05,-15.93,50.0,4,4
55,15,-0.144,-1.05,-15.93,50.0,4,4
55,20,-0.144,-1.05,-15.93,50.0,4,4
60,5,-0.143,-1.07,-15.93,50.0,4,4
60,10,-0.143,-1.07,-15.93,50.0,4,4
60,15,-0.143,-1.07,-15.93,50.0,4,4
60,20,-0.143,-1.07,-15.93,50.0,4,4
